196 1242    3   881250949
186 1302    3   891717742
22  1377    1   878887116
244 1051    2   880606923
115 1265    2   881171488
253 1465    5   891628467
305 1451    3   886324817
6   1086    3   883603013
62  1257    2   879372434
286 2014    5   879781125
210 1040    3   891035994
224 1029    3   888104457
303 1785    3   879485318
122 1387    5   879270459
194 1274    2   879539794
291 2042    4   874834944
234 2184    2   892079237
119 1392    4   886176814
167 1486    4   892738452
299 1144    4   877881320
291 1118    2   874833878
308 1001    4   887736532
95  1546    2   879196566
38  1095    5   892430094
102 1768    2   883748450
63  1277    4   875747401
160 1234    5   876861185
301 1098    4   882075827
225 1193    4   879539727
290 1088    4   880731963
97  1194    3   884238860
157 1274    4   886890835
181 2081    1   878962623
278 1603    5   891295330
276 1796    1   874791932
7   1032    4   891350932
10  1016    4   877888877
201 1979    2   884114233
276 1564    3   874791805
287 1327    5   875333916
246 1201    5   884921594
242 2137    5   879741196
249 1241    5   879641194
99  1004    5   886519097
178 1332    3   882823437
251 1100    4   886271884
81  1432    2   876535131
260 1322    4   890618898
25  1181    5   885853415
59  1196    5   888205088
72  1679    2   880037164
290 1143    5   880474293
42  1423    5   881107687
292 1515    4   881103977
115 1020    3   881171009
20  1288    1   879667584
201 1219    4   884112673
13  1526    3   882141053
138 1026    5   879024232
167 1232    1   892738341
60  1427    5   883326620
223 1274    4   891550094
243 1015    3   879987440
246 1416    3   884923047
194 1165    4   879546723
241 1690    2   887249482
178 1248    4   882823954
254 2444    3   886475558
293 1005    3   888906576
225 1237    5   879539643
225 1480    5   879540748
276 1054    3   874791025
291 1144    5   874835091
222 1366    4   878183381
267 1518    5   878971773
42  1403    3   881108684
11  1111    4   891903862
95  1625    4   888954412
8   1338    4   879361873
162 1025    4   877635573
87  2016    4   879876194
279 1154    5   875296291
145 1275    2   885557505
119 2153    5   874781198
62  1498    4   879373848
62  1382    3   879375537
28  1209    4   881961214
135 1023    4   879857765
32  1294    3   883709863
90  1382    5   891383835
286 1208    4   877531942
293 1685    3   888905170
216 1144    4   880234639
166 1328    5   886397722
250 1496    4   878090499
271 1132    5   885848672
160 1174    5   876860807
265 1118    4   875320714
198 1498    3   884207492
110 1307    4   886987260
58  1144    4   884304936
90  1648    4   891384754
62  1021    3   879373460
279 1832    3   881375854
237 1514    4   879376641
94  1789    4   891720887
128 1485    3   879966895
298 1317    4   884182806
194 1385    2   879524643
250 1264    3   878089182
41  1265    3   890687042
224 1245    3   888082216
262 2147    4   879791710
293 1471    3   888904884
216 1658    3   880245029
59  1023    5   888205300
244 1815    4   880605185
7   1479    4   891352010
174 1368    1   886434402
87  1274    4   879876734
194 2211    2   879551380
82  2134    2   884714402
13  1836    2   882139746
244 1756    2   880605157
305 1427    5   886323090
95  1787    2   888954930
43  1014    2   883955745
299 1955    4   889502823
57  1419    3   883698454
269 1504    4   891449922
299 1111    3   877878184
194 1466    4   879525876
99  1268    3   885678247
10  1486    4   877886846
259 1117    4   874724988
85  1427    3   879456350
213 1273    5   878870987
121 1514    3   891387947
90  1098    5   891383204
49  1559    2   888067405
42  1794    3   881108425
155 1323    2   879371261
68  1117    4   876973939
172 1177    4   875537965
19  1004    4   885412840
268 1231    4   875744136
5   1002    3   875636053
305 1117    2   886324028
44  1294    4   883612356
43  1137    4   875975656
279 2336    1   875298353
80  1466    5   887401701
254 1164    4   886472768
298 1281    3   884183336
279 2240    1   892174404
18  1443    3   880130193
268 2035    2   875542174
99  1079    4   885680138
13  1098    4   881515011
7   1455    4   891353086
222 1755    4   878183481
200 1673    5   884128554
119 1328    4   876923913
213 1172    5   878955442
276 1322    3   874786392
94  2217    3   891723086
38  1328    4   892428688
160 1719    3   876857977
293 2267    3   888906966
26  1930    2   891385985
130 1216    4   875216545
92  2079    3   886443455
256 1452    4   882164999
72  1048    4   880036718
56  1755    3   892910207
13  1360    4   882140926
92  1077    3   875654637
207 1476    2   884386343
292 1174    5   881105481
232 1483    5   888549622
251 1748    2   886272175
224 1026    3   888104153
181 1220    4   878962392
259 1255    4   874724710
305 1471    4   886323648
161 1202    5   891170769
148 1408    5   877399018
125 1235    2   892838559
58  2098    4   884304936
83  1234    4   887665548
272 1178    5   879455113
194 1181    3   879521396
125 1478    4   879454628
110 1688    1   886987605
299 1014    4   877877775
151 1010    5   879524921
269 1127    4   891446165
6   1014    5   883599249
54  1106    3   880937882
303 1069    5   879467542
16  1944    1   877727122
301 1790    4   882078621
276 2091    3   874793035
305 1214    2   886323068
194 2028    2   879541148
91  1323    2   891438397
87  1554    4   879875940
286 1171    4   877531791
200 1318    5   884128458
229 1328    1   891632142
178 1568    4   882826555
303 1842    2   879484804
62  1065    4   879374686
207 1591    3   876018608
92  1172    4   875653271
301 1401    4   882078040
36  1339    5   882157581
70  1746    3   884150257
63  1242    3   875747190
28  1201    3   881961671
250 1007    4   878089716
14  1098    3   890881335
299 2018    3   889502324
194 1054    3   879525876
303 1815    3   879485532
119 1237    5   874775038
295 1218    5   879966498
268 1930    2   875742942
268 1002    2   875744173
233 1202    5   879394264
83  1623    4   880308578
214 1334    3   891542540
192 1476    2   881368243
268 1145    1   875744501
301 1056    4   882076587
307 1089    5   879283786
234 1141    3   892334609
83  1576    4   880308755
181 1264    2   878961624
297 1133    4   875240090
38  1153    5   892430369
7   1382    4   891352093
264 1813    4   886122952
181 1872    1   878961814
201 1146    1   884140579
85  1507    4   879456199
269 1367    3   891450023
59  1468    3   888205855
